,rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x.1,y.1,z.1,w
157,1663806761972814668,,289,,1624528766,203142881,'',,,-13.43,2.08,0.85,,0.0,0.0,0.0,1.0
158,1663806762083121796,,290,,1624528766,312489032,'',,,-13.51,2.05,0.84,,0.0,0.0,0.0,1.0
159,1663806762182334727,,291,,1624528766,412384986,'',,,-13.57,2.01,0.76,,0.0,0.0,0.0,1.0
160,1663806762282714144,,292,,1624528766,512574911,'',,,-13.64,2.1,0.66,,0.0,0.0,0.0,1.0
161,1663806762384493277,,293,,1624528766,614835023,'',,,-13.72,2.2,1.26,,0.0,0.0,0.0,1.0
162,1663806762485316122,,294,,1624528766,715311050,'',,,-13.78,2.22,0.94,,0.0,0.0,0.0,1.0
163,1663806762582987773,,295,,1624528766,812989950,'',,,-13.85,2.18,0.76,,0.0,0.0,0.0,1.0
164,1663806762682686587,,296,,1624528766,912324905,'',,,-13.91,2.25,0.49,,0.0,0.0,0.0,1.0
165,1663806762884863575,,297,,1624528767,112113952,'',,,-13.98,2.23,0.26,,0.0,0.0,0.0,1.0
166,1663806762982661039,,298,,1624528767,212318897,'',,,-14.09,2.2,0.67,,0.0,0.0,0.0,1.0
167,1663806763076819750,,299,,1624528767,307014942,'',,,-14.18,2.25,0.61,,0.0,0.0,0.0,1.0
168,1663806763182234991,,300,,1624528767,412600994,'',,,-14.26,2.26,0.49,,0.0,0.0,0.0,1.0
169,1663806763277168578,,301,,1624528767,507522106,'',,,-14.36,2.28,0.74,,0.0,0.0,0.0,1.0
170,1663806763377210772,,302,,1624528767,607136011,'',,,-14.43,2.31,0.49,,0.0,0.0,0.0,1.0
171,1663806763476755024,,303,,1624528767,707209110,'',,,-14.46,2.31,1.56,,0.0,0.0,0.0,1.0
172,1663806763583226697,,304,,1624528767,812184095,'',,,-14.49,2.27,0.83,,0.0,0.0,0.0,1.0
173,1663806763681304789,,305,,1624528767,910274028,'',,,-14.6,2.29,0.88,,0.0,0.0,0.0,1.0
174,1663806763777016491,,306,,1624528768,7309913,'',,,-14.67,2.31,0.54,,0.0,0.0,0.0,1.0
175,1663806763882086319,,307,,1624528768,112360000,'',,,-14.74,2.28,0.38,,0.0,0.0,0.0,1.0
176,1663806763980325894,,308,,1624528768,209650039,'',,,-14.78,2.2,0.02,,0.0,0.0,0.0,1.0
177,1663806764182265935,,309,,1624528768,412385940,'',,,-14.89,2.18,0.04,,0.0,0.0,0.0,1.0
178,1663806764283114542,,310,,1624528768,513189077,'',,,-14.95,2.13,-0.22,,0.0,0.0,0.0,1.0
179,1663806764382433761,,311,,1624528768,612334012,'',,,-15.01,2.18,-0.44,,0.0,0.0,0.0,1.0
180,1663806764481881959,,312,,1624528768,712166070,'',,,-15.09,2.17,-0.56,,0.0,0.0,0.0,1.0
181,1663806764584020958,,313,,1624528768,813764095,'',,,-15.13,2.13,-0.77,,0.0,0.0,0.0,1.0
182,1663806764682187764,,314,,1624528768,912195920,'',,,-15.16,2.12,-1.04,,0.0,0.0,0.0,1.0
183,1663806764782339951,,315,,1624528769,12334108,'',,,-15.22,2.13,-1.17,,0.0,0.0,0.0,1.0
184,1663806764884121616,,316,,1624528769,113811969,'',,,-15.33,2.17,-1.07,,0.0,0.0,0.0,1.0
185,1663806764982441353,,317,,1624528769,212167978,'',,,-15.43,2.21,-0.92,,0.0,0.0,0.0,1.0
